INFO:OpenGL.acceleratesupport:No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
INFO:qasync:Using Qt Implementation: PyQt6
DEBUG:matplotlib:matplotlib data path: /opt/homebrew/lib/python3.11/site-packages/matplotlib/mpl-data
DEBUG:matplotlib:CONFIGDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib:interactive is False
DEBUG:matplotlib:platform is darwin
DEBUG:matplotlib:CACHEDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib.font_manager:Using fontManager instance from /Users/isabelburgos/.matplotlib/fontlist-v330.json
DEBUG:asyncio:Using selector: _Selector
INFO:new_socket_test:recieved data 1, length 16384
INFO:new_socket_test:recieved data 2, length 16384
INFO:new_socket_test:recieved data 3, length 16384
INFO:new_socket_test:recieved data 4, length 16384
INFO:new_socket_test:recieved data 5, length 16384
INFO:new_socket_test:recieved data 6, length 16384
INFO:new_socket_test:recieved data 7, length 16384
INFO:new_socket_test:recieved data 8, length 16384
INFO:new_socket_test:recieved data 9, length 16384
INFO:new_socket_test:recieved data 10, length 16384
INFO:new_socket_test:recieved data 11, length 16384
INFO:new_socket_test:recieved data 12, length 16384
INFO:new_socket_test:recieved data 13, length 16384
INFO:new_socket_test:recieved data 14, length 16384
INFO:new_socket_test:recieved data 15, length 16384
INFO:new_socket_test:recieved data 16, length 16384
INFO:new_socket_test:recieved data 17, length 16384
INFO:new_socket_test:recieved data 18, length 16384
INFO:new_socket_test:recieved data 19, length 16384
INFO:new_socket_test:recieved data 20, length 16384
INFO:new_socket_test:recieved data 21, length 16384
INFO:new_socket_test:recieved data 22, length 16384
INFO:new_socket_test:recieved data 23, length 16384
INFO:new_socket_test:recieved data 24, length 16384
INFO:new_socket_test:recieved data 25, length 16384
INFO:new_socket_test:recieved data 26, length 16384
INFO:new_socket_test:recieved data 27, length 16384
INFO:new_socket_test:recieved data 28, length 16384
INFO:new_socket_test:recieved data 29, length 16384
INFO:new_socket_test:recieved data 30, length 16384
INFO:new_socket_test:recieved data 31, length 16384
INFO:new_socket_test:recieved data 32, length 16384
INFO:new_socket_test:recieved data 33, length 16384
INFO:new_socket_test:recieved data 34, length 16384
INFO:new_socket_test:recieved data 35, length 16384
INFO:new_socket_test:recieved data 36, length 16384
INFO:new_socket_test:recieved data 37, length 16384
INFO:new_socket_test:recieved data 38, length 16384
INFO:new_socket_test:recieved data 39, length 16384
INFO:new_socket_test:recieved data 40, length 16384
INFO:new_socket_test:recieved data 41, length 16384
INFO:new_socket_test:recieved data 42, length 16384
INFO:new_socket_test:recieved data 43, length 16384
INFO:new_socket_test:recieved data 44, length 16384
INFO:new_socket_test:recieved data 45, length 16384
INFO:new_socket_test:recieved data 46, length 16384
INFO:new_socket_test:recieved data 47, length 16384
INFO:new_socket_test:recieved data 48, length 16384
INFO:new_socket_test:recieved data 49, length 16384
INFO:new_socket_test:recieved data 50, length 16384
INFO:new_socket_test:recieved data 51, length 16384
INFO:new_socket_test:recieved data 52, length 16384
INFO:new_socket_test:recieved data 53, length 16384
INFO:new_socket_test:recieved data 54, length 16384
INFO:new_socket_test:recieved data 55, length 16384
INFO:new_socket_test:recieved data 56, length 16384
INFO:new_socket_test:recieved data 57, length 16384
INFO:new_socket_test:recieved data 58, length 16384
INFO:new_socket_test:recieved data 59, length 16384
INFO:new_socket_test:recieved data 60, length 16384
INFO:new_socket_test:recieved data 61, length 16384
INFO:new_socket_test:recieved data 62, length 16384
INFO:new_socket_test:recieved data 63, length 16384
INFO:new_socket_test:recieved data 64, length 16384
INFO:new_socket_test:recieved data 65, length 16384
INFO:new_socket_test:recieved data 66, length 16384
INFO:new_socket_test:recieved data 67, length 16384
INFO:new_socket_test:recieved data 68, length 16384
INFO:new_socket_test:recieved data 69, length 16384
INFO:new_socket_test:recieved data 70, length 16384
INFO:new_socket_test:recieved data 71, length 16384
INFO:new_socket_test:recieved data 72, length 16384
INFO:new_socket_test:recieved data 73, length 16384
INFO:new_socket_test:recieved data 74, length 16384
INFO:new_socket_test:recieved data 75, length 16384
INFO:new_socket_test:recieved data 76, length 16384
INFO:new_socket_test:recieved data 77, length 16384
INFO:new_socket_test:recieved data 78, length 16384
INFO:new_socket_test:recieved data 79, length 16384
INFO:new_socket_test:recieved data 80, length 16384
INFO:new_socket_test:recieved data 81, length 16384
INFO:new_socket_test:recieved data 82, length 16384
INFO:new_socket_test:recieved data 83, length 16384
INFO:new_socket_test:recieved data 84, length 16384
INFO:new_socket_test:recieved data 85, length 16384
INFO:new_socket_test:recieved data 86, length 16384
INFO:new_socket_test:recieved data 87, length 16384
INFO:new_socket_test:recieved data 88, length 16384
INFO:new_socket_test:recieved data 89, length 16384
INFO:new_socket_test:recieved data 90, length 16384
INFO:new_socket_test:recieved data 91, length 16384
INFO:new_socket_test:recieved data 92, length 16384
INFO:new_socket_test:recieved data 93, length 16384
INFO:new_socket_test:recieved data 94, length 16384
INFO:new_socket_test:recieved data 95, length 16384
INFO:new_socket_test:recieved data 96, length 16384
INFO:new_socket_test:recieved data 97, length 16384
INFO:new_socket_test:recieved data 98, length 16384
INFO:new_socket_test:recieved data 99, length 16384
INFO:new_socket_test:recieved data 100, length 16384
INFO:new_socket_test:recieved data 101, length 16384
INFO:new_socket_test:recieved data 102, length 16384
INFO:new_socket_test:recieved data 103, length 16384
INFO:new_socket_test:recieved data 104, length 16384
INFO:new_socket_test:recieved data 105, length 16384
INFO:new_socket_test:recieved data 106, length 16384
INFO:new_socket_test:recieved data 107, length 16384
INFO:new_socket_test:recieved data 108, length 16384
INFO:new_socket_test:recieved data 109, length 16384
INFO:new_socket_test:recieved data 110, length 16384
INFO:new_socket_test:recieved data 111, length 16384
INFO:new_socket_test:recieved data 112, length 16384
INFO:new_socket_test:recieved data 113, length 16384
INFO:new_socket_test:recieved data 114, length 16384
INFO:new_socket_test:recieved data 115, length 16384
INFO:new_socket_test:recieved data 116, length 16384
INFO:new_socket_test:recieved data 117, length 16384
INFO:new_socket_test:recieved data 118, length 16384
INFO:new_socket_test:recieved data 119, length 16384
INFO:new_socket_test:recieved data 120, length 16384
INFO:new_socket_test:recieved data 121, length 16384
INFO:new_socket_test:recieved data 122, length 16384
INFO:new_socket_test:recieved data 123, length 16384
INFO:new_socket_test:recieved data 124, length 16384
INFO:new_socket_test:recieved data 125, length 16384
INFO:new_socket_test:recieved data 126, length 16384
INFO:new_socket_test:recieved data 127, length 16384
INFO:new_socket_test:recieved data 128, length 16384
INFO:new_socket_test:recieved data 129, length 16384
INFO:new_socket_test:recieved data 130, length 16384
INFO:new_socket_test:recieved data 131, length 16384
INFO:new_socket_test:recieved data 132, length 16384
INFO:new_socket_test:recieved data 133, length 16384
INFO:new_socket_test:recieved data 134, length 16384
INFO:new_socket_test:recieved data 135, length 16384
INFO:new_socket_test:recieved data 136, length 16384
INFO:new_socket_test:recieved data 137, length 16384
INFO:new_socket_test:recieved data 138, length 16384
INFO:new_socket_test:recieved data 139, length 16384
INFO:new_socket_test:recieved data 140, length 16384
INFO:new_socket_test:recieved data 141, length 16384
INFO:new_socket_test:recieved data 142, length 16384
INFO:new_socket_test:recieved data 143, length 16384
INFO:new_socket_test:recieved data 144, length 16384
INFO:new_socket_test:recieved data 145, length 16384
INFO:new_socket_test:recieved data 146, length 16384
INFO:new_socket_test:recieved data 147, length 16384
INFO:new_socket_test:recieved data 148, length 16384
INFO:new_socket_test:recieved data 149, length 16384
INFO:new_socket_test:recieved data 150, length 16384
INFO:new_socket_test:recieved data 151, length 16384
INFO:new_socket_test:recieved data 152, length 16384
INFO:new_socket_test:recieved data 153, length 16384
INFO:new_socket_test:recieved data 154, length 16384
INFO:new_socket_test:recieved data 155, length 16384
INFO:new_socket_test:recieved data 156, length 16384
INFO:new_socket_test:recieved data 157, length 16384
INFO:new_socket_test:recieved data 158, length 16384
INFO:new_socket_test:recieved data 159, length 16384
INFO:new_socket_test:recieved data 160, length 16384
INFO:new_socket_test:recieved data 161, length 16384
INFO:new_socket_test:recieved data 162, length 16384
INFO:new_socket_test:recieved data 163, length 16384
INFO:new_socket_test:recieved data 164, length 16384
INFO:new_socket_test:recieved data 165, length 16384
INFO:new_socket_test:recieved data 166, length 16384
INFO:new_socket_test:recieved data 167, length 16384
INFO:new_socket_test:recieved data 168, length 16384
INFO:new_socket_test:recieved data 169, length 16384
INFO:new_socket_test:recieved data 170, length 16384
INFO:new_socket_test:recieved data 171, length 16384
INFO:new_socket_test:recieved data 172, length 16384
INFO:new_socket_test:recieved data 173, length 16384
INFO:new_socket_test:recieved data 174, length 16384
INFO:new_socket_test:recieved data 175, length 16384
INFO:new_socket_test:recieved data 176, length 16384
INFO:new_socket_test:recieved data 177, length 16384
INFO:new_socket_test:recieved data 178, length 16384
INFO:new_socket_test:recieved data 179, length 16384
INFO:new_socket_test:recieved data 180, length 16384
INFO:new_socket_test:recieved data 181, length 16384
INFO:new_socket_test:recieved data 182, length 16384
INFO:new_socket_test:recieved data 183, length 16384
INFO:new_socket_test:recieved data 184, length 16384
INFO:new_socket_test:recieved data 185, length 16384
INFO:new_socket_test:recieved data 186, length 16384
INFO:new_socket_test:recieved data 187, length 16384
INFO:new_socket_test:recieved data 188, length 16384
INFO:new_socket_test:recieved data 189, length 16384
INFO:new_socket_test:recieved data 190, length 16384
INFO:new_socket_test:recieved data 191, length 16384
INFO:new_socket_test:recieved data 192, length 16384
INFO:new_socket_test:recieved data 193, length 16384
INFO:new_socket_test:recieved data 194, length 16384
INFO:new_socket_test:recieved data 195, length 16384
INFO:new_socket_test:recieved data 196, length 16384
INFO:new_socket_test:recieved data 197, length 16384
INFO:new_socket_test:recieved data 198, length 16384
INFO:new_socket_test:recieved data 199, length 16384
INFO:new_socket_test:recieved data 200, length 16384
INFO:new_socket_test:recieved data 201, length 16384
INFO:new_socket_test:recieved data 202, length 16384
INFO:new_socket_test:recieved data 203, length 16384
